sample,reference_gap,rate_kind,uniform_rate_mib_per_frame,adaptive_rate_mib_per_frame,rate_delta_mib_per_frame,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr
driving,4,raw_mib_per_frame,0.11863334090621383,0.11863334090621383,0.0,0.0,0.0
driving,8,raw_mib_per_frame,0.06214206601366585,0.0621416657059281,-4.003077377495723e-07,0.03340110564212395,0.03209849855958424
driving,16,raw_mib_per_frame,0.033896198979130494,0.033896187205373504,-1.1773756990185458e-08,0.02048354350085191,0.019978892193279307
meetroom,4,raw_mib_per_frame,0.11863458892445505,0.11863458892445505,0.0,0.0,0.0
meetroom,8,raw_mib_per_frame,0.062142501642674576,0.06214231326256269,-1.883801118846007e-07,0.11748100026268915,0.12893604611359422
meetroom,16,raw_mib_per_frame,0.03389637558548539,0.033896422680513356,4.7095027967680725e-08,0.04573341814039722,0.04690989693839498
n3dv,4,raw_mib_per_frame,0.1186354837299865,0.1186354837299865,0.0,0.0,0.0
n3dv,8,raw_mib_per_frame,0.06214297259295428,0.06214297259295428,0.0,0.0,0.0
n3dv,16,raw_mib_per_frame,0.0338968347620081,0.033896822988251106,-1.1773756997124352e-08,0.07508025079923897,0.07943858740669185
robot,4,raw_mib_per_frame,0.11885509243259182,0.11885462178812399,-4.7064446782874025e-07,0.16331619309351808,0.21729521549740127
robot,8,raw_mib_per_frame,0.06537104272223138,0.06537121611756164,1.7339533026072829e-07,0.2876497712710311,0.34384268018851216
robot,16,raw_mib_per_frame,0.035657684524337964,0.03565738727520039,-2.9724913757495086e-07,-0.018963597365331708,-0.01899001734383532
